text,label
好久都没有见过那么干净的白人班级了，一个黑呢色都没有,1
我觉得中国女性媚外值得蜱评的是中国男性，你们看一看出轨的女人的老公一看就很软弱，而以前在社会上混的男人的老婆我没发现谁敢出轨，中国男人如果能和黑人或穆斯林男性一样暴力，那中国就没有媚外的说法。,1
那岂不是表子都不如🤔,1
我不是河北人，但每次看到有人黑唐山也觉得恶心，一件打架斗殴的普通刑事案件能上热搜十几二十天，天天能看到骂唐山的，那个地方没有这种事，新闻一大堆，骂人算什么本事，有本事自己去制止犯罪，而不是口嗨。我感觉地域黑造成的社会危害远大于这个案件本身,1
组头肉哈哈哈哈哈,0
你们也可以搞一个跟黑率交往过的男的的名单啊。公平嘛。😆,1
说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人关我鸟是。v,1
整急眼了我可以干组，但是不会干有过黑人男友的女人,1
Xg有些老年人也是這樣。不敢舉例詳細說，怕被關進肖黑屋。,0
日本女人贤不贤惠我不太在乎，反正中国女人已经跟贤妻良母不沾边了。印度女人给不给嫁妆无所谓，反正中国这边彩礼要给，嫁妆也不是男人的。美国女人随父姓也是小事儿，反正中国女人不仅不改姓，还要求孩子跟她们姓。穆斯林女人贞不贞洁也不是我关心的，反正中国女人不太贞洁了。俄罗斯乌克兰女人漂不漂亮也就那么回事儿，反正中国女人已经靠着美颜、化妆变成世界第一了。非洲女人身材好不好我是没注意过，反正中国女人就算身材不好也是“仙女”。😆,1
非洲黑人智商70，被学者归类为执掌水平。美国黑人混血儿智商85，中非混血儿智商应该徘徊在90左右，妥妥的班里倒数,1
你不会是怕将来你妻子告你强健罪吧！你放心这项罪名很难取证的，女的一告就众叛亲离被人嘲笑，女的还怎么在家里呆下去，还不如直接告离婚,1
连说说也不准？嗨吹好猖獗,1
起码在冯丽这件事情上，是这几个博主到冯丽微博下留言加辱骂河南人的，到处蹭热度，我都怀疑这些人是不是有病呀！你骂他他就截屏，说你往报他，你不骂他马上就跑到话题下继续地域黑，我去过西安，是一座美丽的城市，文化很厚重，但华夏把中元说做陕西，黄帝故里是西安等等常识性错误的言论，还不让人说洛阳是十三朝古都，不是洛阳是古都会影响西安什么吗？无语😲😲😲😲,1
楼主啊！我记得这是某位普信率写的关于男性的条件吧，改的好，还有，您的帖子里面有条目🐶，赶紧置顶羞辱,1
绝对是 7年前我就遇见过有国外组织带领某些人大力黑安徽的 组织的头是个中国通的美国人 当时他住在上海 对中国文化了如指掌 中文很好还懂古诗什么的 他们假装上海人黑安徽人 带动真的网上上海人黑安徽人 后来黑完安徽又选择黑河南 元因是因为他们认为河南是华夏中心起源等等 其实我还想说更多 但是我不能 我很怕 我只能说这么多,1
我185，但这亩人是鲨bee,1
她自己不也是一个哗众取宠的小丑？普信难有什么不好？难道天天跟个吧破一样怨天怨地怪异性才好？中国人讲究天行健君子以自强不息，普通人也要不断自强，而不是像某些群体一样一味崇洋媚外，逆向种族主义，或者性别主义。,1
最近挺热闹啊，是不是放暑假的元因使得一些反某某歧视的多了起来,0
因为我太认真了~~我是真的把古兰经、圣经、佛经(佛经不是元版那种看不懂的)，认认真真的读了一部分，是没有读完的，然后我发现我实在是读不下去，佛经还能看点人生感悟什么的，而前两者实在是，我不好说贬低它们的话，但是真的是，完全接受不能,0
能不能回复啊，笑死了，没见过这么嘴硬小胆的fw，是不是待会还要自己精神胜利一把说我不屑于和你说话啊,1
是男挙定义宠女人的男人为购，什么叫喜欢当购。,1
吧里这几个房通根本没什么能力，房通还得靠同性恋,1
终于可以说话了，这等级限制，这你们叫的“组腰”是不是就是骂骂咧咧说要去人家学校堵人家的那个?,1
组组挺可爱的,0
池早药丸🙂,1
别听他的，他在危言耸听，为了爱情，去美好的非洲大曹元吧,1
+1但如果姑娘追求真爱跟黑人一起回非洲，我打心底里祝福他们俩????留在国内不讨骂满,0
复印还得是你们txl厉害，搁知乎上一复制来这一粘贴就把正常人的智商否定了，就那两个赞的文章谁信谁才智商有问题,1
说的很对。但是吃四的也不能要吃尿的强行认同吧！,0
你还未燃艾身亡？你上药多久了？,1
人类中智商极端高的通常是红丸觉醒者，他们深刻认识到了母人吸血的本能和生命的雌本位底层代码，所以才把母人当成繁殖和泄欲的工具，或者干脆就是难桶。,1
是吧，你实践过?这样来说外国仁传给国女，国女传播慢?你调研过啊?找了1000个男的和1000个女的互相传播?男的找女人上床要么帅，要么出钱，要么其他我，有成本，女的没有传播成本。传播元理是一样的体液交换，你哪来的女传男低，还说患上艾滋病后正常吃药活的很久呢，你也信?很多三五年之内就得死，什么活的很长。,1
比如在父母面前抽烟的大小子行为,1
来看看过女的素质,1
长得丑就活该被变态扫扰 这什么逻辑,1
还说什么中国男人配不上中国女人的规划，真是带出一个好节奏，全球家庭暴力也好，情侣矛盾也好，都是人类共有的特点，非要扣帽子说只有中国人会这样，真是离谱！,1
哈哈哈哈哈笑死我了，籹拳帖子下面全是及或麦片的这波叫做产业集聚,1
告诉她们，我家牛栏的公牛最近发春，掉又长又大，是真的大，不是怕片宣传挑出来的大，送给她们夜夜春宵，免费，没艾滋病,1
应对的办法是走出去外娶。对于过率，绝大多数过率卸妆和恐怖片差不多。我是没有做推土机的欲望,1
看图中这个不是房通的，同恋该时候承认是精神病了,1
中国大概2016年取消了入境艾滋病检查，南非的艾滋病病毒携带者高达25%，这还是嗨非洲经济最好国家，其他的。😆😆你仔细想想。,1
在所谓“自立自强”中走向极端，然后彻底反智。管中窥豹，略见一斑，权拳二象性实乃真知灼见PS：素材来自吧中某帖一个破防亩人的主页，欢迎仗义之辈同去屠?,1
老外很老，一般发育早，在它家乡可能有老婆孩子了。20多岁相当于人类30、40岁夹你，你别回复评论。永远也改不了黑新兴劣质人的性质。全世界都不欢迎黑，即是到了美国政治正确的国家，也不要你们，马上遣返回老窝。,1
反变态吧吧名简洁明了，一看就懂,0
说得对，我们没法分辨谁是蓝裤裆，那只能摆烂或者先自己变成蓝裤裆了😄,1
我感觉难桶性格残缺或是怪异的可能性很高，和普通人相比。有些人是因为某些事情刺激后天成为难桶，然而这雷任也容易变得很怪，很极端，甚至很恶心。我指其中部分人,1
妇女权益保障法（修订曹案）征求意见正在进行中，大家有意见赶紧去提！,0
还得看咋陕西爷基佬死于艾,1
所以请跟着外国男出国不要留在中国，尤其是末,1
笑仙女日常精神病,1
图灵还要什么争议？帮助祖国和世界战胜了法西斯，然后却被自己的祖国迫害，悲剧自杀，图灵是房通碰不得的,0
（仅代表个人观点，不喜勿喷，钢经走开，并无嘲笑和讽刺的意味，如果有哪里语言不当致歉，如果有言论冒犯抱歉，只是单纯的觉得，我家里上有老下有小，请钢经远离，另外我父母还健在，不是孤儿，受过教育，非杠非黑，并无敌意，仅表达字面含义无讽刺、暗示意味，仅代表个人观点并无意引发论战及侵占公共资源，语言不当之处请见谅，本人尊重一切，若本回复冒犯到您我诚挚表示歉意，若您不赞同我的观点不必特地回复我）,0
你不是字吗？郭南郭朒分不清楚,1
没事，不是说天沟很多吗？亩人召唤天沟就算了,1
它们只会骂中国男性，🐑跌贵天还来不及呢,1
混血，眼睛是蓝色，混了白皮逐的血,1
世界卫生组织周三建议难桶性恋者及双性恋男性限制其性伴侣的数量，以避免自身感染猴痘及帮助降低该病毒的传播速度。世卫组织猴痘专家罗莎蒙德·刘易斯表示，男男性行为群体目前有着最高的猴痘病毒感染率。目前的感染案例中，有99%的感染者为男性，这些患者中又有95%发生过男男性行为。,0
我的一个朋友在非洲工作过三年，他说只要是女的嫁给末，基本劝她辞职，要不就拿末的工资，一两千，没有回国假期，不报销任何费用，没假期，,1
确实，这点得学着人家小棒子,1
先解决孩子安全问题再说吧，基佬联同是人尽皆知的,1
骗婚什么时候没被抵制了吗，这本来就是个错误的行为啊，但你说的是抵制难桶这个群体,1
看到你这帖子，确定你就是***每黑努力了,1
你们同性恋不包容房通可以拉黑对方龟缩在家里不见人见光就可以了，你们同性恋不需要来这个吧，有拉黑功能可以让你们逃避现实活在自己的世界里。同性恋太丢脸太恶心了一定要拉黑回避正常人。房通是正常的逃不逃避拉不拉黑你们也是正常的但你们同性恋是不正常的不能见人见光所以需要拉黑我们房通才能逃避现实活在自己的世界里。,1
国人为什么崇洋媚外？因为我们从小就被这样教育的，外国人比中国人好，比中国人强。而小学女生比男生学习更好，学的更深入。哪里见了外国人不去死贴啊？结果黑人也是外国人，国人都想去做朋友，结果男的被骗钱，女的被艾滋加骗钱。,1
但是末我真的很讨厌,1
冲，我们今天都是肖万,1
这个及佬，喜欢精神胜利，是一个辣及，真是笑死人,1
怼女全的角度多了图里这位说的跟你说的没有冲突,0
真的牛蜱嗷,0
以偏概全，就是你的思维方式？希望你早日脱离这种落后的思维方式，吧破其实也是一种落后的思维方式导致的行为方式。@百舸争流,1
杀软谐音，购才用,1
支持正义执行！txl再不管管，气候变暖又要加重了。,1
元来这就是传说中的冒充理中客，带歪不明辨是非的人呀😎,0
那还有假，这些非促最喜欢做的事就是伤害别人，干违法乱纪的事,1
这问题让我明白为什么基佬在唐山不会被打。基佬燃艾元来是为了防身！,1
每个在华黑人都会有3个以上的eg,1
最离谱的是冒着风险跟他媳妇儿pp还生孩子了他是什么nt这跟医院检查有什么关系他在不确定风险的情况下跟媳妇儿pp不就是对他媳妇儿的不尊重吗也没给他媳妇儿当个人啊他媳妇儿不过是个繁衍工具罢了吧不先想想能不能对得起媳妇儿紧着转移话题赶紧离了得了,1
这个及佬，喜欢精神胜利，是一个辣及,1
当你扔出去一块砖头，购叫了就说明砸到购了😆所以如果问心无愧就不要对号入座,0
蓝鸟上扫女和菩萨被开除女籍了,1
真的有些副癌还有喜欢基，雷百合的，还是好看的基，这也太双表了,1
四年后的江西人末末走过，并给你点了个赞,0
根据大数据所得，100%的女全都是智商低劣，且具有严重基因缺陷的下等物种，来源《就你会编？》,1
其实我一直觉得，在这个自然界之中，没有任何完全一样的人，在男性之中区别就很大了，有的男性可以做到总统有的男性只能做起该，每个人都是不一样的，更何况男女,0
我们不歧视外国仁，我们只是教化穷人,1
因为知乎上自称歧视黑人的中国南方人只嘴炮，现实见到黑人p不放一个，而白人歧视黑人不网上歧视，在现实见到黑人常常敢动手,1
坏起来了兄弟们，元来真有荣誉女人,1
微博全是马上传送,1
评论区更恶心，女权真是吃人不吐骨头！,1
双表给他玩明白了,1
元来竟然是同物种啊,0
购咬购中必须要分清谁咬的第一口？问题难道不是两边都是购吗🤣,1
上小网站看看视频。嗨蓝黄女一大堆，铺天盖地。但是黄男黑率你能找到吗！你喜欢玩仍元泰山是你的事！别扯那么远好吗！,1
建议国男们别在仙女朋友圈里出现,1
老外付1％的责任，过女付99%责任呗，那老外1％责任在于自己掏钱买的机票，自己办的签证，而不是过女帮他们买机票，办签证,1
政策，tm的看个足球赛是互撕大战，山东从，东北啥啥，什么都有。,1
自老日常迫害正常人,1
宇宙畅销房通漫《房通少女泼》改编的房通动画《房通小组》将于近期开播，依然是邀请银河系房通天王艺人阿泼担任主演。该剧讲述的是一个平凡的房通小学生小组拯救世界的故事。还等什么呢？快快拿起房通棒，跟随者小组的步伐一同收集基佬牌吧！,1
作为一个gay，我不觉得这种态度有什么问题啊……这篇回答简单说就是：你爱逼逼你逼逼，关我屁事。,1
穆人讲的不是汉语是穆语,1
这也就是网上，有能耐过来当着我们面说我家乡不好试试，上面的，有一个算一个，区,1
阿哲，好像陈浩民张卫健吴彦祖古天乐尹正他们的帅我挺欣赏的，至于现在的酿跑，对不起那些女全拿这些酿跑当例子还说人家嫉妒，真是笑大牙了,1
我是女的，大哥。在学校里真没见过女生跟黑人一起的。大部分人都是普普通通来上学的，想法跟我差不多的，现实生活中真的没那么多美飞女😅。跟同学们去体育中心游泳（游泳必考），来了几个黑人在我们这个泳道游，然后我们赶紧躲到其他泳道去了。,0
男人是被社会上层打压的努力，而女人只是努力的仆人，这就很有意思了，男人总是抱怨社会的制度，女人总是抱怨男人占有了她的权利。现在所谓的新时代女性，不过是想从努力的仆人位置中跳脱出来，想和男人一起做努力。等到新时代女人完全有了和男人差不多的权利，女人也会和男人一样抱怨社会制度。毕竟阶级上层控制着努力，制定规则和掌握着努力们的资料，下层的努力只能遵守规则活活被剥削，上层贵族在享受生活，下层努力在受苦受难。,0
我也感觉...其实现在表面上多少人接受同性恋，就是跟风而已，跟风下yy别人的人更恶心我觉得，就拿我同学的例子来说，别人以为她是同多少想远离她，哪像网上说那么好听,1
不就是因为觉得自己恶心吗？什么撞号，分出个1啊，0啊的，简直是笑话。自己歧视自己的群体，应该是个垃圾群体吧。你们谈恋爱有多少人能超过三个月？嗯？不肯一起努力，捡现成，摆烂，物质主义，为了金钱抛弃爱情是你们这个群体的永远主旋律，像张国荣，图灵那样优秀的能有几个？恐怕优秀的人才是你们这个群体的少数派吧，不然你们怎么会经常性恋爱，每一段恋爱都逐渐使你们走向孤独终老的最终归宿。哦，我忘了，你们大多数人压根就没有老的机会，这个群体提倡的主要生活方式同样糟糕，你们真的觉得自己能活过五十？好了，我说的应该都是事实吧，死基佬们应该哑口无言了吧。,1
好家伙，整活老哥把女全的活性转然后买抖+推给女全粉丝炸鱼,1
难桶喜欢封面上的那种?,1
朋友说河南人投井盖很正常,1
圆圈吧出了名的及窝都不知道？里面都是卖的还有陪玩的，好多在里明卖。,1
那我们也有鄙视的自由啊，可以鄙视xx癖就不能鄙视美飞癖吗,1
是的，反感和歧视不一样，我反感毁容的人，看着特别恶心，但是我不歧视毁容的人，我觉得他们和正常人都是平等的人,1
你凭什么假定这位男士的x别？你怎么知道他不是生理上的男x，心理上的女x。照这么说的话，她应该是通讯怒才对。,1
你早点区丝,1
不是我逻辑混乱，而是你根本不理解我在说什么。对方说因为做某些事情同性恋居多，所以就应该认为所以同性恋都有很高几率去做这个事情。我用强健来类比，是说如果这种逻辑成立，那么因为大多数强健案都是男性做的，那么就应该认为男性也都有很高几率去强健一样。性取向和某些行为根本就不挂钩，就像性别和强健也不挂钩一样。无论是强健还是这个人前边提到的行为，都不是性向和性别的元因造成的，而且其他多重元因导致的，用性向或者性别把整个一个人群全都一棍子打死就是有问题的想法。,0
只是发图片要钱，给你们看看这些美飞女，推特一大堆，国内也有，啥玩意儿,1
死掉的黑仍是好人,1
准确来说这种动不动就删帖是经过冲雷及其它们后代从荤亲儿子республиканскоеправительство末许及其歸从租和香蕉奴在背后搞的鬼,1
支持支持支持，女全成了全女社区，更支持,1
毛线道理，两个视角的解读情景都不一样。最重要的还是故事里的选择仍是被动接受命运。但只要是人都一定会有被动的时刻，而不仅仅只是努力才有。,0
末曾人还是要早点拉黑,1
根本不是。南方又不是大曹元，土著极多，中元人只能以文化岛的方式存在于“杭州”等几个城市，然后迅速被周围的土著彻底同化。杭州曾经流行过开封话，仍然被土著们同化成了“吴语”。根据基因检测，南方本地人的血统和东南亚基因完全重合。一个中元人，如果子子孙孙都娶土著，中元血统早就消失干净了。,0
人和人差别大，不是因为地域的元因，而是家庭环境造就的，同一片地方，不同的家庭，教养出来的人素质就不一样。不知道为什么大家不去找个人元因反而去给地域贴标签，这属于一种惯性思维吗？,0
我不控通，就是单纯的厌恶，觉得恶心，不为别的，就为txl群体传播x病，还要骗人形婚，毁人一生。运气差一点的，只是被骗婚。运气再差一点，被骗着生个孩子，把孩子也毁了。运气差到爆的，被人骗婚，还被传染上x病，这就是txl群体干的好事。,1
记得看过一本隐喻黑人的悬疑小说，揭示了黑人的丑恶嘴脸，主角好像叫肖万来着，还是肖旺,1
我做不了吧主。坚定含费。,1
嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三飞，收入不菲,1
蜱站，翻墙看,1
元谅？😆什么🐢楠,1
所以你一直看一个中年啤酒肚人字拖大叔和肥胖宽腰垂胸大妈天天搂搂抱抱亲亲的同样恶心吧。所以是个人形象的问题而不是同性的问题啊。,0
人家发个表白墙碍着大全什么事了？现在大学里男生果然变态很多呀，还偷拍别人，建议报警,1
如果女孩和非洲男孩的地位是想匹配的，你们会蜱判吗?娶非洲老婆问题下面:答主是农村光棍，娶非洲女孩 ——祝福答主普通人娶的是北非女孩，白皮肤—羡慕答主父母体制内高管，娶非洲女孩，父亲气的吐血。——不值得所以如果女孩和她想匹配的非洲男孩恋爱，其实我们是可以接受的? 只要女孩不倒贴不双表。只是这样的女孩有点少。,0
这母组看面相就不是个好人,1
